# Command: bloaty -c suit.bloaty -d sections,suit,symbols -n 0 -s vm ../../2020-clemens-vera/Results/bin/mqttsn-wpan/suit_update.elf -- ../../2020-clemens-vera/Results/bin/coap-wpan/suit_update.elf

    FILE SIZE        VM SIZE    
 --------------  -------------- 
  [ = ]       0  +6.5% +1.21Ki    .bss
    [ = ]       0  [NEW] +1.22Ki    mqttsn
      [ = ]       0  [NEW]    +512    rbuf
      [ = ]       0  [NEW]    +512    tbuf
      [ = ]       0  [NEW]    +156    sock
      [ = ]       0  [NEW]     +28    timer
      [ = ]       0  [NEW]     +24    gateway
      [ = ]       0  [NEW]      +4    cli_id
      [ = ]       0  [NEW]      +4    result
      [ = ]       0  [NEW]      +4    subs
      [ = ]       0  [NEW]      +4    txlock
      [ = ]       0  [NEW]      +2    waitonid
    [ = ]       0  -0.0%      -2    network
      [ = ]       0 -50.0%      -2    gnrc_ipv6_pid
    [ = ]       0  -0.1%      -8    ota
      [ = ]       0  [NEW]   +1024    emcute_stack
      [ = ]       0  [NEW]    +240    suit_manifest
      [ = ]       0  [NEW]    +130    _topic
      [ = ]       0  [NEW]    +128    _block_topic
      [ = ]       0  [NEW]    +128    _trigger_topic
      [ = ]       0  [NEW]     +24    last_known_good_gw
      [ = ]       0  [NEW]     +20    _block_sub
      [ = ]       0  [NEW]     +20    _trigger_sub
      [ = ]       0  [NEW]      +8    blockwise_transfer_state
      [ = ]       0  [NEW]      +2    _suit_mqtt_sn_pid
      [ = ]       0  [DEL]      -2    _suit_coap_pid
      [ = ]       0  [DEL]     -64    _nanocoap_server_msg_queue
      [ = ]       0  [DEL]    -130    _url
      [ = ]       0  [DEL] -1.50Ki    _nanocoap_server_stack
  +0.7%    +544  +0.7%    +544    .text
    [NEW] +1.77Ki  [NEW] +1.77Ki    mqttsn
      [NEW]    +639  [NEW]    +639    emcute_run
      [NEW]    +304  [NEW]    +304    emcute_con
      [NEW]    +220  [NEW]    +220    emcute_pub
      [NEW]    +176  [NEW]    +176    emcute_sub
      [NEW]    +144  [NEW]    +144    emcute_reg
