1550243082.429523	ʺJ61	58	14	-4	264	0	16876	14	-6
1550243082.4322324	8297	61	58	14	-4	264	0	16876	14	-6
1550243082.4347088	8249	61	58	14	-4	264	0	16876	14	-6
1550243082.437264	8297	61	58	14	-4	264	0	16876	14	-6
1550243082.439776	8297	61	58	14	-4	264	0	16876	14	-6
1550243082.4422534	8297	61	58	14	-4	264	0	16876	14	-6
1550243082.4444318	8297	61	58	14	-4	264	0	16876	14	-6
1550243082.4504492	8297	61	58	14	-4	264	0	16876	14	-6
1550243082.452527	8297	61	58	14	-4	264	0	16876	14	-6
1550243082.45455	8297	61	58	14	-4	264	0	16876	14	-6
1550243082.4569879	8297	61	58	14	-4	264	0	16876	14	-6
1550243082.4595897	8297	61	58	14	-4	264	0	16876	14	-6
1550243082.4620872	8346	61	58	14	-4	264	0	16876	14	-6
1550243082.4642324	8346	61	58	14	-4	264	0	16876	14	-6
1550243082.4717793	8346	61	58	14	-4	264	0	16876	14	-6
1550243082.4736233	8346	61	58	14	-4	264	0	16876	14	-6
1550243082.4755397	8346	63	58	14	-4	264	0	16876	14	-6
1550243082.478316	8346	63	58	14	-4	264	0	16876	14	-6
1550243082.4808586	8346	63	58	14	-4	264	0	16876	14	-6
1550243082.483526	8346	63	58	14	-4	264	0	16876	14	-6
1550243082.4861417	8346	63	58	14	-4	264	0	16876	14	-6
1550243082.4882207	8346	61	58	14	-4	264	0	16876	14	-6
1550243082.4951732	8346	61	58	14	-4	264	0	16876	14	-6
1550243082.4972527	8346	63	58	14	-4	264	0	16876	14	-6
1550243082.4994884	8346	61	58	14	-4	264	0	16876	14	-6
1550243082.5018241	8346	61	58	14	-4	264	0	16876	14	-6
1550243082.504363	8346	61	58	14	-4	264	0	16876	14	-6
1550243082.507055	8346	61	58	14	-4	264	0	16876	14	-6
1550243082.5095708	8346	61	58	14	-4	264	0	16876	14	-6
1550243082.5175056	8394	61	58	14	-4	264	0	16876	14	-6
1550243082.5197527	8394	63	58	14	-4	264	0	16876	14	-6
1550243082.5222898	8394	63	58	14	-4	264	0	16876	14	-6
1550243082.524737	8394	63	58	14	-4	264	0	16876	14	-6
1550243082.527234	8394	63	58	14	-4	264	0	16876	14	-6
1550243082.5297332	8394	63	58	14	-4	264	0	16876	14	-6
1550243082.5319653	8394	63	58	14	-4	264	0	16876	14	-6
1550243082.5390196	8394	63	58	14	-4	264	0	16876	14	-6
1550243082.5415733	8394	63	58	14	-4	264	0	16876	14	-6
1550243082.5441492	8394	63	58	14	-4	264	0	16876	14	-6
1550243082.546769	8394	63	58	14	-4	264	0	16876	14	-6
1550243082.5493991	8394	63	58	14	-4	264	0	16876	14	-6
1550243082.551823	8394	63	58	14	-4	264	0	16876	14	-6
1550243082.553735	8394	63	58	14	-4	264	0	16876	14	-6
1550243082.5602593	8394	63	58	14	-4	264	0	16876	14	-6
1550243082.5620396	8394	63	58	14	-4	264	0	16876	14	-6
1550243082.564102	8394	63	58	14	-4	264	0	16876	14	-6
1550243082.5666063	8394	63	58	14	-4	264	0	16876	14	-6
1550243082.5691075	8394	63	58	14	-4	264	0	16876	14	-6
1550243082.5716264	8394	63	58	14	-4	264	0	16876	14	-6
1550243082.5735674	8394	63	58	14	-4	264	0	16876	14	-6
1550243082.575462	8394	63	58	14	-4	264	0	16876	14	-6
1550243082.5838523	8394	63	58	14	-4	264	0	16876	14	-6
1550243082.5863602	8394	63	58	14	-4	264	0	16876	14	-6
1550243082.5887115	8394	61	58	14	-4	264	0	16876	14	-6
1550243082.5913095	8394	61	58	14	-4	264	0	16876	14	-6
1550243082.5931814	8394	61	58	14	-4	264	0	16876	14	-6
1550243082.5952253	8394	61	58	14	-4	264	0	16876	14	-6
1550243082.5970678	8394	61	58	14	-4	264	0	16876	14	-6
1550243082.6049564	8394	61	58	14	-4	264	0	16876	14	-6
1550243082.6067913	8394	61	58	14	-4	264	0	16876	14	-6
1550243082.6092975	8394	63	58	14	-4	264	0	16876	14	-6
1550243082.6116862	8394	61	58	14	-4	264	0	16876	14	-6
1550243082.614234	8394	61	58	14	-4	264	0	16876	14	-6
1550243082.6162891	8394	61	61	14	-4	264	0	16876	14	-6
1550243082.6182027	8394	61	61	14	-4	264	0	16876	14	-6
1550243082.6274333	8394	61	58	14	-4	264	0	16876	14	-6
1550243082.630062	8394	63	58	14	-4	264	0	16876	14	-6
1550243082.6327617	8394	63	58	14	-4	264	0	16876	14	-6
1550243082.6357126	8394	63	58	14	-4	264	0	16876	14	-6
1550243082.6382873	8394	63	58	14	-4	264	0	16876	14	-6
1550243082.6409466	8394	61	58	14	-4	264	0	16876	14	-6
1550243082.6434317	8394	63	58	14	-4	264	0	16876	14	-6
1550243082.6453826	8394	61	58	14	-4	264	0	16876	14	-6
1550243082.6505876	8394	61	58	14	-4	264	0	16876	14	-6
1550243082.6525962	8394	61	58	14	-4	264	0	16876	14	-6
1550243082.654492	8394	61	58	14	-4	264	0	16876	14	-6
1550243082.656976	8394	61	58	14	-4	264	0	16876	14	-6
1550243082.6595826	8394	61	58	14	-4	264	0	16876	14	-6
1550243082.6621227	8394	61	58	14	-4	264	0	16876	14	-6
1550243082.6646683	8394	61	58	14	-4	264	0	16876	14	-6
1550243082.6720788	8394	61	58	14	-4	264	0	16876	14	-6
1550243082.674014	8394	61	58	14	-4	264	0	16876	14	-6
1550243082.6762853	8394	61	58	14	-4	264	0	16876	14	-6
1550243082.6788292	8394	61	58	14	-4	264	0	16876	14	-6
1550243082.6813676	8394	63	58	14	-4	264	0	16876	14	-6
1550243082.6836555	8394	61	58	14	-4	264	0	16876	14	-6
1550243082.685598	8394	61	58	14	-4	264	0	16876	14	-6
1550243082.6934288	8394	61	58	14	-4	264	0	16876	14	-6
