1550143962.76335	J66	61	14	-4	264	0	17139	14	-6
1550143962.7659585	8442	66	61	14	-4	264	0	17139	14	-6
1550143962.7686467	8442	66	61	14	-4	264	0	17139	14	-6
1550143962.7711449	8442	66	61	14	-4	264	0	17139	14	-6
1550143962.773754	8442	66	61	14	-4	264	0	17139	14	-6
1550143962.775975	8442	66	61	14	-4	264	0	17139	14	-6
1550143962.7777946	8442	66	61	14	-4	264	0	17139	14	-6
1550143962.7841084	8442	66	61	14	-4	264	0	17139	14	-6
1550143962.7860026	8442	66	61	14	-4	264	0	17139	14	-6
1550143962.7883866	8442	66	61	14	-4	264	0	17139	14	-6
1550143962.7909825	8442	66	61	14	-4	264	0	17139	14	-6
1550143962.7936974	8442	66	61	14	-4	264	0	17139	14	-6
1550143962.7958634	8442	66	61	14	-4	264	0	17139	14	-6
1550143962.7981164	8442	66	61	14	-4	264	0	17139	14	-6
1550143962.8055687	8442	66	61	14	-4	264	0	17139	14	-6
1550143962.8077204	8442	66	61	14	-4	264	0	17139	14	-6
1550143962.8102388	8442	66	61	14	-4	264	0	17139	14	-6
1550143962.8128226	8442	66	61	14	-4	264	0	17139	14	-6
1550143962.815334	8442	66	61	14	-4	264	0	17139	14	-6
1550143962.817275	8442	66	61	14	-4	264	0	17139	14	-6
1550143962.819354	8442	66	61	14	-4	264	0	17139	14	-6
1550143962.8212955	8442	66	61	14	-4	264	0	17139	14	-6
1550143962.8298934	8442	66	61	14	-4	264	0	17139	14	-6
1550143962.832233	8442	66	61	14	-4	264	0	17139	14	-6
1550143962.834836	8442	66	61	14	-4	264	0	17139	14	-6
1550143962.8374321	8442	66	61	14	-4	264	0	17139	14	-6
1550143962.8396885	8442	66	61	14	-4	264	0	17139	14	-6
1550143962.8416862	8442	66	61	14	-4	264	0	17139	14	-6
1550143962.8435953	8442	66	61	14	-4	264	0	17139	14	-6
1550143962.8514657	8442	66	61	14	-4	264	0	17139	14	-6
1550143962.8538673	8442	66	61	14	-4	264	0	17139	14	-6
1550143962.8562825	8442	66	61	14	-4	264	0	17139	14	-6
1550143962.858786	8442	66	61	14	-4	264	0	17139	14	-6
1550143962.8607392	8442	66	61	14	-4	264	0	17139	14	-6
1550143962.8626533	8442	66	61	14	-4	264	0	17139	14	-6
1550143962.8647995	8442	66	58	14	-4	264	0	17139	14	-6
1550143962.8726673	8442	66	58	14	-4	264	0	17139	14	-6
1550143962.87466	8442	66	61	14	-4	264	0	17139	14	-6
1550143962.8765855	8442	66	61	14	-4	264	0	17139	14	-6
1550143962.8785474	8442	66	61	14	-4	264	0	17139	14	-6
1550143962.8809152	8442	66	61	14	-4	264	0	17139	14	-6
1550143962.8834424	8442	66	61	14	-4	264	0	17139	14	-6
1550143962.8860943	8442	66	61	14	-4	264	0	17139	14	-6
1550143962.888412	8442	66	58	14	-4	264	0	17139	14	-6
1550143962.8959932	8442	66	61	14	-4	264	0	17139	14	-6
1550143962.897957	8428	66	61	14	-4	264	0	17139	14	-6
1550143962.9002445	8428	66	61	14	-4	264	0	17139	14	-6
1550143962.902662	8442	66	61	14	-4	264	0	17139	14	-6
1550143962.905066	8442	66	61	14	-4	264	0	17139	14	-6
1550143962.9078248	8442	66	61	14	-4	264	0	17139	14	-6
1550143962.9102812	8442	66	61	14	-4	264	0	17139	14	-6
1550143962.917242	8442	66	61	14	-4	264	0	17139	14	-6
1550143962.9192152	8442	66	61	14	-4	264	0	17139	14	-6
1550143962.9215717	8442	66	61	14	-4	264	0	17139	14	-6
1550143962.923989	8442	66	61	14	-4	264	0	17139	14	-6
1550143962.9265149	8442	66	61	14	-4	264	0	17139	14	-6
1550143962.92867	8442	66	61	14	-4	264	0	17139	14	-6
1550143962.9306371	8442	66	61	14	-4	264	0	17139	14	-6
1550143962.9397395	8442	66	61	14	-4	264	0	17139	14	-6
1550143962.9416456	8442	66	61	14	-4	264	0	17139	14	-6
1550143962.9439645	8442	66	61	14	-4	264	0	17139	14	-6
1550143962.9464622	8442	66	61	14	-4	264	0	17139	14	-6
1550143962.948979	8442	66	61	14	-4	264	0	17139	14	-6
1550143962.9513383	8442	66	61	14	-4	264	0	17139	14	-6
1550143962.9532743	8442	66	61	14	-4	264	0	17139	14	-6
1550143962.9611545	8442	66	61	14	-4	264	0	17139	14	-6
1550143962.963336	8442	66	61	14	-4	264	0	17139	14	-6
1550143962.9658556	8442	66	61	14	-4	264	0	17139	14	-6
1550143962.9683626	8442	66	61	14	-4	264	0	17139	14	-6
1550143962.9709833	8442	66	61	14	-4	264	0	17139	14	-6
1550143962.9729083	8442	66	61	14	-4	264	0	17139	14	-6
1550143962.9749355	8442	66	61	14	-4	264	0	17139	14	-6
1550143962.9769378	8442	66	61	14	-4	264	0	17139	14	-6
1550143962.9842947	8442	66	61	14	-4	264	0	17139	14	-6
1550143962.986225	8442	66	61	14	-4	264	0	17139	14	-6
1550143962.9887798	8442	66	61	14	-4	264	0	17139	14	-6
1550143962.9915655	8442	66	61	14	-4	264	0	17139	14	-6
1550143962.994259	8442	66	61	14	-4	264	0	17139	14	-6
1550143962.9964314	8442	66	61	14	-4	264	0	17139	14	-6
1550143962.9983265	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.0058448	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.0082045	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.0108936	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.0133348	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.0158174	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.018334	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.0205035	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.0282483	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.029936	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.0321765	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.0345793	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.037081	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.039474	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.041384	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.0434113	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.0517523	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.0542493	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.0567539	8442	66	61	14	-4	264	0	17139	14	-6
